dataset,metric,n,mean,std,p5,median,p95
prism,Fidelity raw (matched),4800,0.994282,0.001492,0.991581,0.994407,0.996451
prism,Fidelity raw (mismatched),24000,0.981179,0.004055,0.974793,0.980932,0.987816
prism,Fidelity raw gap,24000,0.013103,0.004611,0.005663,0.013118,0.020587
prism,Fidelity centered (matched),4800,0.667470,0.136853,0.441255,0.675328,0.861648
prism,Fidelity centered (mismatched),24000,-0.007301,0.118449,-0.184421,-0.020211,0.205351
prism,Fidelity centered gap,24000,0.674770,0.187248,0.381412,0.659560,0.998696
prism,Consistency raw (within-item),26400,0.999151,0.000473,0.998396,0.999225,0.999682
prism,Consistency raw (between-item),132000,0.982757,0.004716,0.975597,0.982155,0.990563
prism,Consistency raw gap,26400,0.016455,0.004721,0.008572,0.017033,0.023575
prism,Consistency centered (within-item),26400,0.952790,0.029309,0.900067,0.957270,0.988550
prism,Consistency centered (between-item),132000,0.145522,0.134331,-0.021090,0.113893,0.396666
prism,Consistency centered gap,26400,0.808077,0.136417,0.553434,0.837088,0.983769
prism,||mean activation||,1,0.991182,0.000000,0.991182,0.991182,0.991182
biosbias,Fidelity raw (matched),4800,0.993385,0.003679,0.985978,0.994735,0.996607
biosbias,Fidelity raw (mismatched),24000,0.980913,0.007996,0.965404,0.982998,0.990780
biosbias,Fidelity raw gap,24000,0.012472,0.007863,0.003264,0.010288,0.028534
biosbias,Fidelity centered (matched),4800,0.646763,0.098905,0.488442,0.643027,0.811709
biosbias,Fidelity centered (mismatched),24000,0.001221,0.169638,-0.239165,-0.017377,0.307234
biosbias,Fidelity centered gap,24000,0.645542,0.199389,0.274630,0.667347,0.928682
biosbias,Consistency raw (within-item),26400,0.999130,0.000510,0.998166,0.999263,0.999651
biosbias,Consistency raw (between-item),132000,0.984257,0.006686,0.973522,0.984653,0.994316
biosbias,Consistency raw gap,26400,0.014844,0.006724,0.004722,0.014459,0.025705
biosbias,Consistency centered (within-item),26400,0.951258,0.023512,0.907994,0.955501,0.980453
biosbias,Consistency centered (between-item),132000,0.157543,0.225935,-0.136366,0.117512,0.587782
biosbias,Consistency centered gap,26400,0.792868,0.228062,0.359891,0.831525,1.091566
biosbias,||mean activation||,1,0.990037,0.000000,0.990037,0.990037,0.990037
mmlu,Fidelity raw (matched),4800,0.993081,0.000891,0.991555,0.993092,0.994487
mmlu,Fidelity raw (mismatched),24000,0.990692,0.001674,0.987857,0.990758,0.993277
mmlu,Fidelity raw gap,24000,0.002389,0.001671,-0.000017,0.002186,0.005341
mmlu,Fidelity centered (matched),4800,0.237992,0.148446,0.007343,0.258741,0.452975
mmlu,Fidelity centered (mismatched),24000,-0.014978,0.128853,-0.236739,-0.012989,0.198695
mmlu,Fidelity centered gap,24000,0.252970,0.204110,-0.040640,0.249356,0.605195
mmlu,Consistency raw (within-item),26400,0.999098,0.000443,0.998235,0.999211,0.999619
mmlu,Consistency raw (between-item),132000,0.995806,0.001862,0.992603,0.995875,0.998825
mmlu,Consistency raw gap,26400,0.003289,0.001910,0.000230,0.003219,0.006543
mmlu,Consistency centered (within-item),26400,0.923680,0.038023,0.848733,0.932858,0.969609
mmlu,Consistency centered (between-item),132000,0.650844,0.141615,0.415629,0.648183,0.899562
mmlu,Consistency centered gap,26400,0.272531,0.146346,0.020935,0.275915,0.513278
mmlu,||mean activation||,1,0.996604,0.000000,0.996604,0.996604,0.996604
