dataset,metric,n_samples,G_rel,Phi_abs
prism,fidelity_cos,1,0.9060153794536555,0.9997407321788092
prism,fidelity_cos,2,0.9506905235081133,0.999870349282275
prism,fidelity_cos,3,0.9665776698037029,0.99991356245262
prism,fidelity_cos,4,0.9747220402736111,0.999935170438538
prism,fidelity_cos,6,0.9830048257389022,0.9999567793583669
prism,fidelity_cos,12,0.9914295850214258,0.9999783892121673
biosbias,fidelity_cos,1,0.9863056073137387,0.9999652898725034
biosbias,fidelity_cos,2,0.993105596321212,0.9999826446350484
biosbias,fidelity_cos,3,0.9953931437051456,0.9999884296897632
biosbias,fidelity_cos,4,0.9965408738545949,0.9999913222422213
biosbias,fidelity_cos,6,0.9976912538216403,0.9999942148114134
biosbias,fidelity_cos,12,0.998844292793522,0.9999971073973396
mmlu,fidelity_cos,1,0.7551528437261023,0.9991887482213981
mmlu,fidelity_cos,2,0.8604981001232352,0.9995935488653085
mmlu,fidelity_cos,3,0.902463210955634,0.9997285553105024
mmlu,fidelity_cos,4,0.9250190581395785,0.9997960722096366
mmlu,fidelity_cos,6,0.9487313139709167,0.9998635982289256
mmlu,fidelity_cos,12,0.9736912494495645,0.9999311333702171
