dataset,metric,n,mean,std,p5,median,p95
prism,Fidelity raw (matched),4800,0.994283,0.001485,0.991618,0.994428,0.996424
prism,Fidelity raw (mismatched),24000,0.981180,0.004050,0.974834,0.980938,0.987789
prism,Fidelity raw gap,24000,0.013103,0.004616,0.005656,0.013114,0.020602
prism,Fidelity centered (matched),4800,0.667231,0.137208,0.442976,0.672531,0.862203
prism,Fidelity centered (mismatched),24000,-0.007313,0.118548,-0.184130,-0.020394,0.205044
prism,Fidelity centered gap,24000,0.674545,0.187642,0.378769,0.659478,0.999950
prism,Consistency raw (within-item),26400,0.999151,0.000514,0.998403,0.999232,0.999680
prism,Consistency raw (between-item),132000,0.982771,0.004720,0.975627,0.982158,0.990590
prism,Consistency raw gap,26400,0.016451,0.004730,0.008582,0.017029,0.023567
prism,Consistency centered (within-item),26400,0.952877,0.029960,0.899466,0.957901,0.988372
prism,Consistency centered (between-item),132000,0.146176,0.134588,-0.021295,0.114521,0.397654
prism,Consistency centered gap,26400,0.807864,0.136808,0.552928,0.836892,0.983226
prism,||mean activation||,1,0.991182,0.000000,0.991182,0.991182,0.991182
biosbias,Fidelity raw (matched),4800,0.993383,0.003685,0.985886,0.994715,0.996583
biosbias,Fidelity raw (mismatched),24000,0.980897,0.008002,0.965523,0.982949,0.990795
biosbias,Fidelity raw gap,24000,0.012486,0.007858,0.003277,0.010296,0.028534
biosbias,Fidelity centered (matched),4800,0.646991,0.098942,0.488087,0.644915,0.812608
biosbias,Fidelity centered (mismatched),24000,0.001122,0.169646,-0.238489,-0.016831,0.305237
biosbias,Fidelity centered gap,24000,0.645869,0.199271,0.275359,0.667073,0.929278
biosbias,Consistency raw (within-item),26400,0.999126,0.000505,0.998185,0.999258,0.999648
biosbias,Consistency raw (between-item),132000,0.984223,0.006699,0.973520,0.984596,0.994304
biosbias,Consistency raw gap,26400,0.014883,0.006738,0.004705,0.014497,0.025697
biosbias,Consistency centered (within-item),26400,0.951110,0.023610,0.907369,0.955372,0.980516
biosbias,Consistency centered (between-item),132000,0.157221,0.226050,-0.135963,0.117124,0.587690
biosbias,Consistency centered gap,26400,0.793533,0.227744,0.358366,0.832060,1.091395
biosbias,||mean activation||,1,0.990037,0.000000,0.990037,0.990037,0.990037
